leaf_size, snippet_size, build_or_not
1, 36, false
3, 36, false
2, 36, false
6, 66, false
5, 62, false
11, 119, false
2, 123, false
1, 122, false
1, 43, false
2, 41, false
1, 1, true
0, 0, true
2, 126, false
2, 126, false
1, 124, false
2, 38, false
3, 39, false
1, 36, false
1, 0, true
3, 41, false
1, 37, false
3, 37, false
3, 38, false
2, 38, false
4, 67, false
2, 65, false
3, 65, false
0, 0, true
1, 66, false
0, 0, true
2, 67, false
1, 67, false
3, 67, false
1, 38, false
1, 38, false
0, 0, true
2, 66, false
1, 0, true
0, 0, true
3, 0, true
1, 0, true
4, 0, true
1, 65, false
0, 0, true
1, 65, false
5, 77, false
4, 75, false
7, 99, false
8, 65, false
6, 65, false
6, 65, false
4, 68, false
0, 0, true
0, 0, true
6, 87, false
9, 121, false
7, 106, false
1, 5, false
0, 0, true
1, 5, false
5, 41, false
4, 41, false
3, 41, false
6, 1, true
4, 1, true
